name,number,year,extraction_annual,extraction_cumulative,transfers_in_annual,transfers_in_cumulative,expenses_annual,balance,transfers_out,distribution,city_admin_costs,finance_costs,bank,finance_costs_2,bank_2,url,creation,expiration
Canal/Congress,063,2019,25098028,332805286,2575200,10966931,12229190,44056903,-,10000000,341376.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_063_CanalCongressAR19.pdf,11/12/1998,12/31/2022
Central West,086,2019,27721675,245210519,-,70617714,13972835,63966180,2122000,-,330939.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_086_CentralWestAR19.pdf,2/16/2000,12/31/2024
Chicago/Central Park,115,2019,5287839,81391747,-,101283414,7108910,27296013,-,-,66175.00,4957730.10,Amalgamated Bank of Chicago,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_115_ChicagoCentralParkAR19.pdf,2/27/2002,12/31/2026
Chicago/Kingsbury,094,2019,25682510,270435457,-,-,3631847,40135380,42043000,-,370000.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_094_ChicagoKingsburyAR19.pdf,4/12/2000,12/31/2024
Clark/Montrose,070,2019,3947648,39281914,-,2000000,2724210,12677819,849000,-,46715.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_070_ClarkMontroseAR19.pdf,7/7/1999,7/7/2022
Clark/Ridge,074,2019,2510132,31701454,3000000,3000000,3512737,9934470,372000,-,31133.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_074_ClarkRidgeAR19.pdf,9/29/1999,9/29/2022
Cicero/Archer,096,2019,782627,11980574,-,-,13860,5618242,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_096_CiceroArcherAR19.pdf,5/17/2000,12/31/2024
Commercial Avenue,128,2019,1381973,20868915,-,-,157556,10463160,-,-,16719.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_128_CommercialAR19.pdf,11/13/2002,12/31/2026
Devon/Sheridan,134,2019,1459500,7934196,-,3136000,1283899,3091989,-,3000000,19078.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_134_DevonSheridanAR19.pdf,3/31/2004,12/31/2028
Devon/Western,076,2019,3139784,40501147,-,3340000,246085,3440870,-,2106384,36500.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_076_DevonWesternAR19.pdf,11/3/1999,12/31/2023
Diversey/Chicago River,179,2019,99167,99167,176000,526000,3937,297137,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_179_DiverseyChicagoRiverAR19.pdf,10/5/2016,12/31/2040
Diversey/Narragansett,129,2019,2004065,29464052,-,-,1923010,4500775,241000,-,30088.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_129_DiverseyNarragansettAR19.pdf,2/5/2003,12/31/2027
Division/Homan,107,2019,1792591,18329578,-,-,441561,7760572,196000,-,20762.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_107_DivisionHomanAR19.pdf,6/27/2001,12/31/2025
Edgewater/Ashland,130,2019,803117,8099315,-,1400000,12899,6168689,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_130_EdgewaterAshlandAR19.pdf,10/1/2003,12/31/2027
Elston/Armstrong Industrial Corridor,153,2019,729184,4473744,-,-,175869,2149559,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_153_ElstonArmstrongAR19.pdf,7/19/2007,12/31/2031
Englewood Mall,021,2019,558512,11092743,-,7545883,13704,4873089,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_021_EnglewoodMallAR19.pdf,11/29/1989,12/31/2025
Englewood Neighborhood,106,2019,2524668,64088044,-,-,2265840,21484215,-,3175000,32824.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_106_EnglewoodNeighborhoodAR19.pdf,6/27/2001,12/31/2025
Ewing Avenue,169,2019,98268,1887410,-,6508056,4993,1028133,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_169_EwingAR19.pdf,3/10/2010,12/31/2034
Foster/California,177,2019,348022,707347,366668,5644830,373626,706371,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_177_FosterCaliforniaAR19.pdf,4/2/2014,12/31/2038
Foster/Edens,181,2019,477834,477834,-,-,6217,476057,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_181_FosterEdensAR19.pdf,2/28/2018,12/31/2042
Fullerton/Milwaukee,087,2019,10243520,103550462,-,52044,6940125,25314554,-,-,123734.00,2702463.80,Amalgamated Bank of Chicago,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_087_FullertonMilwaukeeAR19.pdf,2/16/2000,12/31/2024
Galewood/Armitage Industrial,071,2019,4009983,42371456,-,20197449,6509591,13298462,-,-,49913.00,3781144.90,Amalgamated Bank of Chicago,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_071_GalewoodArmitageAR19.pdf,7/7/1999,12/31/2023
Goose Island,023,2019,5839784,70603410,-,10000000,1741326,19954447,-,-,83079.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_023_GooseIslandAR19.pdf,7/10/1996,12/31/2032
Greater Southwest Industrial (East),066,2019,1200143,13273376,-,-,695383,3886936,-,-,14772.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_066_GreaterSouthwestEastAR19.pdf,3/10/1999,12/31/2023
Greater Southwest Industrial (West),092,2019,858114,13580507,-,976540,54808,6054113,174000,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_092_GreaterSouthwestWestAR19.pdf,4/12/2000,12/31/2024
Harlem Industrial Park Conservation Area,148,2019,0,971268,-,-,139835,-,287889,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_148_HarlemAR19.pdf,3/14/2007,12/31/2019
Harrison/Central,144,2019,99349,4697515,288000,7636645,604352,1080049,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_144_HarrisonCentralAR19.pdf,7/26/2006,12/31/2030
Hollywood/Sheridan,157,2019,785220,3394467,575824,12076096,614027,1937241,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_157_HollywoodSheridanAR19.pdf,11/7/2007,12/31/2031
Homan/Arthington,024,2019,597689,10154057,-,1062798,1035786,2974835,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_024_HomanArthingtonAR19.pdf,2/5/1998,2/5/2021
Humboldt Park Commercial,108,2019,4021169,44359414,-,-,1031337,14312885,385000,-,49025.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_108_HumboldtParkAR19.pdf,6/27/2001,12/31/2025
Irving Park/Elston,165,2019,-250,933551,200000,200000,107999,-,572534,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_165_IrvingParkElstonAR19.pdf,5/13/2009,12/31/2019
Irving/Cicero,027,2019,873540,12879150,-,1291443,149730,2867858,99000,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_027_IrvingCiceroAR19.pdf,6/10/1996,12/31/2020
Jefferson Park,057,2019,1143305,14156776,-,853000,3242939,4801249,-,-,12116.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_057_JeffersonParkAR19.pdf,9/9/1998,9/9/2021
Jefferson/Roosevelt,101,2019,9213721,77858616,-,12500000,640336,12531171,5363000,-,101974.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_101_JeffersonRooseveltAR19.pdf,8/30/2000,12/31/2024
Kennedy/Kimball,160,2019,818297,2136674,-,-,13067,1583878,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_160_KennedyKimballAR19.pdf,3/12/2008,12/31/2032
Kinzie Industrial Corridor,052,2019,41093833,361813998,-,-,17400749,124495431,-,-,536252.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_052_KinzieAR19.pdf,6/10/1998,12/31/2022
Lakefront,119,2019,467399,4003707,-,-,201173,1562876,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_119_LakefrontAR19.pdf,3/27/2002,12/31/2026
LaSalle Central,147,2019,93583599,367049909,632000,9232000,15845333,118187536,46443000,2575200,1131448.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_147_LaSalleCentralAR19.pdf,11/15/2006,12/31/2030
Lawrence/Broadway,109,2019,4663309,51326855,-,-,700379,17818091,-,575824,52420.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_109_LawrenceBroadwayAR19.pdf,6/27/2001,12/31/2025
Lawrence/Kedzie,088,2019,7383792,106416344,1000000,3500000,9506277,12468149,-,-,92755.00,8111770.83,Zions Bank,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_088_LawrenceKedzieAR19.pdf,2/16/2000,12/31/2024
Lawrence/Pulaski,116,2019,1614355,20370964,-,2900000,969561,6481202,292000,1200000,19777.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_116_LawrencePulaskiAR19.pdf,2/27/2002,12/31/2026
Lincoln Avenue,077,2019,2815399,44775094,-,22342064,919501,6197252,-,-,38886.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_077_LincolnAvenueAR19.pdf,11/3/1999,12/31/2023
Little Village Industrial Corridor,152,2019,,2079529,-,-,135582,1008303,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_152_LittleVillageAR19.pdf,6/13/2007,12/31/2031
Little Village East,164,2019,,464610,1280000,1280000,30554,1657691,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_164_LittleVillageEastAR19.pdf,4/22/2009,12/31/2033
Madden/Wells,126,2019,1621133,13119949,-,1051820,274355,4291674,-,-,17853.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_126_MaddenWellsAR19.pdf,11/6/2002,12/31/2026
Madison/Austin Corridor,075,2019,2205324,29899114,180000,64687897,773159,4961427,-,144000,27222.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_075_MadisonAustinAR19.pdf,9/29/1999,12/31/2023
Michigan/Cermak,029,2019,2494994,18596645,-,13810000,52437,9141232,-,-,30948.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_029_MichiganCermakAR19.pdf,9/13/1989,12/31/2025
Midway Industrial Corridor,089,2019,3371621,37278911,-,-,43279,3351931,-,4500000,20499.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_089_MidwayAR19.pdf,2/16/2000,12/31/2024
Midwest,095,2019,14570282,209871143,-,12254510,16847798,33164872,-,-,182900.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_095_MidwestAR19.pdf,5/17/2000,12/31/2036
