name,number,year,extraction_annual,extraction_cumulative,transfers_in_annual,transfers_in_cumulative,expenses_annual,balance,transfers_out,distribution,city_admin_costs,finance_costs,bank,finance_costs_2,bank_2,url,creation,expiration
Goose Island,023,2018,6556364,64763626,,10000000,5831039,15063037,1030100,,77427.00,4548341.25,Amalgamated Bank of Chicago,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_023_GooseIslandAR18.pdf,7/10/1996,7/10/2019
Greater Southwest Industrial (East),066,2018,1230366,12073233,,0,910454,3218971,76100,,15435.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_066_GreaterSouthwestEastAR18.pdf,3/10/1999,12/31/2023
Greater Southwest Industrial (West),092,2018,354022,12722393,976540,976540,94314,5154471,10800,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_092_GreaterSouthwestWestAR18.pdf,4/12/2000,12/31/2024
Harlem Industrial Park Conservation Area,148,2018,0,971268,,0,13989,406906,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_148_HarlemAR18.pdf,3/14/2007,12/31/2031
Harrison/Central,144,2018,254477,4598166,,7348645,294549,1232208,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_144_HarrisonCentralAR18.pdf,7/26/2006,12/31/2030
Hollywood/Sheridan,157,2018,64919,2609247,575824,11500272,651387,1116821,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_157_HollywoodSheridanAR18.pdf,11/7/2007,12/31/2031
Homan/Arthington,024,2018,775390,9556368,,1062798,1028548,3249351,52100,,11699.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_024_HomanArthingtonAR18.pdf,2/5/1998,2/5/2021
Humboldt Park Commercial,108,2018,4206656,40338245,,0,2873242,11130203,1267300,,55746.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_108_HumboldtParkAR18.pdf,6/27/2001,12/31/2025
Irving Park/Elston,165,2018,-1287,933801,,0,5212,454622,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_165_IrvingParkElstonAR18.pdf,5/13/2009,12/31/2033
Irving/Cicero,027,2018,873011,12005610,,1291443,0,2120418,437000,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_027_IrvingCiceroAR18.pdf,6/10/1996,12/31/2020
Jefferson Park,057,2018,1273810,13013471,,853000,133866,6576330,81900,,18132.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_057_JeffersonParkAR18.pdf,9/9/1998,9/9/2021
Jefferson/Roosevelt,101,2018,7908634,68644895,,12500000,593760,8874959,5000000,,107792.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_101_JeffersonRooseveltAR18.pdf,8/30/2000,12/31/2024
Kennedy/Kimball,160,2018,353494,1318377,,0,7677,733865,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_160_KennedyKimballAR18.pdf,3/12/2008,12/31/2032
Kinzie Industrial Corridor,052,2018,44057698,320720165,,0,27751066,95678423,,18730088,528268.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_052_KinzieAR18.pdf,6/10/1998,12/31/2022
Lake Calumet Area Industrial,103,2018,4155705,44323977,,4284000,1491911,12538756,,,48189.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_103_LakeCalumetAR18.pdf,12/13/2000,12/31/2024
Lakefront,119,2018,413483,3536308,,0,201987,1232909,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_119_LakefrontAR18.pdf,3/27/2002,12/31/2026
LaSalle Central,147,2018,69007881,273466310,,8600000,11880023,84770867,15000000,7300000,833575.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_147_LaSalleCentralAR18.pdf,11/15/2006,12/31/2030
Lawrence/Broadway,109,2018,4401829,46663546,,0,1240732,13691879,,575824,60772.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_109_LawrenceBroadwayAR18.pdf,6/27/2001,12/31/2025
Lawrence/Kedzie,088,2018,7916347,99032552,,2500000,4233390,13018818,,,103103.00,3952750.00,Zions Bank,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_088_LawrenceKedzieAR18.pdf,2/16/2000,12/31/2024
Lawrence/Pulaski,116,2018,1702042,18756609,,2900000,226233,6987302,,,22253.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_116_LawrencePulaskiAR18.pdf,2/27/2002,12/31/2026
Lincoln Avenue,077,2018,3972755,41959695,10500000,22342064,17116614,4084255,,,48163.00,16879750.00,Zions Bank,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_077_LincolnAvenueAR18.pdf,11/3/1999,12/31/2023
Lincoln/Belmont/Ashland,028,2018,1140015,22879686,,0,696311,0,1350820,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_028_LincolnBelmontAshlandAR18.pdf,11/2/1994,12/31/2018
Little Village Industrial Corridor,152,2018,99,2079529,,0,169056,1086572,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_152_LittleVillageAR18.pdf,6/13/2007,12/31/2031
Little Village East,164,2018,-368,464610,,0,3408,359866,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_164_LittleVillageEastAR18.pdf,4/22/2009,12/31/2033
Madden/Wells,126,2018,1359250,11498816,,1051820,3527718,2791942,,,20943.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_126_MaddenWellsAR18.pdf,11/6/2002,12/31/2026
Madison/Austin Corridor,075,2018,2474574,27693790,18890000,64507897,28325048,3321686,,,32553.00,27406062.50,Zions Bank,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_075_MadisonAustinAR18.pdf,9/29/1999,12/31/2023
Michigan/Cermak,029,2018,1871123,16101651,,13810000,115998,6344105,3000000,,25875.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_029_MichiganCermakAR18.pdf,9/13/1989,12/31/2025
Midway Industrial Corridor,089,2018,2748443,33907290,,0,229329,4346498,,11641286,57972.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_089_MidwayAR18.pdf,2/16/2000,12/31/2024
Midwest,095,2018,18834683,195300861,8500000,12254510,22260083,33846122,,14086378,252619.00,15807770.83,Zions Bank,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_095_MidwestAR18.pdf,5/17/2000,12/31/2036
Montclare,102,2018,344426,4836908,,0,207496,725436,24300,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_102_MontclareAR18.pdf,8/30/2000,12/31/2024
Montrose/Clarendon,173,2018,266331,1086448,,0,6994,1063411,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_173_MontroseClarendonAR18.pdf,6/30/2010,12/31/2034
Near North,030,2018,33785985,292508726,,3546644,7224212,87184078,5805100,,397360.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_030_NearNorthAR18.pdf,7/30/1997,7/30/2020
